step_id,campaign_id,campaign_name,industry,sender,receiver,step_order,subject,wait_days,variant,variant_from_step
199,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,0,for {FIRST_NAME},1,True,198
201,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,200
203,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,202
205,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,204
198,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
200,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
202,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
204,31,IT And Consulting - Microsoft → Outlook (27_03),IT & Consulting,Microsoft,Outlook,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
207,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,0,for {FIRST_NAME},1,True,206
209,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,208
211,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,210
213,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,212
206,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
208,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
210,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
212,32,IT And Consulting - Microsoft → Proofpoint (27_03),IT & Consulting,Microsoft,Proofpoint,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
216,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,0,for {FIRST_NAME},2,True,215
218,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,True,217
220,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,219
222,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,221
215,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
217,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
219,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
221,34,Truck Transportation - Google → Google (09_04),Truck Transportation,Google,Google,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
224,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,0,for {FIRST_NAME},2,True,223
226,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,True,225
228,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,227
230,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,229
223,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
225,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
227,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
229,35,Truck Transportation - Google → Custom+Misc (09_04),Truck Transportation,Google,Custom+Misc,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
232,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,0,for {FIRST_NAME},2,True,231
234,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,True,233
236,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,235
238,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,237
231,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
233,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
235,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
237,36,Truck Transportation - Microsoft → Outlook (09_04),Truck Transportation,Microsoft,Outlook,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
240,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,0,for {FIRST_NAME},2,True,239
242,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,True,241
244,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,243
246,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,245
239,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
241,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
243,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
245,37,Truck Transportation- Microsoft → Proofpoint (09_04),Truck Transportation,Microsoft,Proofpoint,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
263,42,BCS - Google → Google (15_04),BCS,Google,Google,0,for {FIRST_NAME},2,True,262
265,42,BCS - Google → Google (15_04),BCS,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,264
269,42,BCS - Google → Google (15_04),BCS,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,268
262,42,BCS - Google → Google (15_04),BCS,Google,Google,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
264,42,BCS - Google → Google (15_04),BCS,Google,Google,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
268,42,BCS - Google → Google (15_04),BCS,Google,Google,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
271,43,BCS - Google → Custom+Misc (15_04),BCS,Google,Custom+Misc,0,for {FIRST_NAME},2,True,270
273,43,BCS - Google → Custom+Misc (15_04),BCS,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,272
277,43,BCS - Google → Custom+Misc (15_04),BCS,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,276
270,43,BCS - Google → Custom+Misc (15_04),BCS,Google,Custom+Misc,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
272,43,BCS - Google → Custom+Misc (15_04),BCS,Google,Custom+Misc,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
276,43,BCS - Google → Custom+Misc (15_04),BCS,Google,Custom+Misc,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
279,44,BCS - Microsoft → Outlook (15_04),BCS,Microsoft,Outlook,0,for {FIRST_NAME},2,True,278
281,44,BCS - Microsoft → Outlook (15_04),BCS,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,280
285,44,BCS - Microsoft → Outlook (15_04),BCS,Microsoft,Outlook,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,284
