campaign_id,campaign_name,industry,sender,receiver,month,step_id,step_order,subject,sent,leads_contacted,unique_replies,unique_opens,interested,bounced,unsubscribed
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-03,382,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-03,383,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-03,384,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-03,385,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-04,380,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1174,1174,16,0,1,44,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-04,381,0,for {FIRST_NAME},1289,1289,19,0,0,72,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-04,382,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1151,1151,11,0,1,8,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-04,383,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1127,1127,13,0,0,9,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-04,384,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},559,559,5,0,0,1,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-04,385,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},541,541,2,0,1,6,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-03,374,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-03,375,0,for {FIRST_NAME},0,0,0,0,0,0,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-03,376,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-03,377,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-03,378,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-03,379,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-04,374,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1188,1188,5,0,1,7,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-04,375,0,for {FIRST_NAME},1178,1178,30,0,6,4,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-04,376,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1128,1128,7,0,1,0,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-04,377,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1192,1192,2,0,0,1,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-04,378,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1163,1163,2,0,1,1,0
59,Equipment Rental - Google → Google (21_04),Equipment Rental,Google,Google,2026-04,379,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1138,1138,5,0,0,2,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-03,416,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-03,417,0,for {FIRST_NAME},0,0,0,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-03,418,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-03,419,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-03,420,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-03,421,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-04,416,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},542,542,0,0,0,1,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-04,417,0,for {FIRST_NAME},504,504,1,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-04,418,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},507,507,1,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-04,419,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},480,480,0,0,0,1,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-04,420,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},225,225,1,0,0,0,0
66,Advertising - Microsoft → Proofpoint (22_04),Advertising,Microsoft,Proofpoint,2026-04,421,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},200,200,1,0,0,0,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-03,404,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-03,405,0,for {FIRST_NAME},0,0,0,0,0,0,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-03,406,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-03,407,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-03,408,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-03,409,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-04,404,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2187,2187,37,0,1,80,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-04,405,0,for {FIRST_NAME},2172,2172,39,0,3,75,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-04,406,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2024,2024,30,0,3,11,0
64,Advertising - Google → Custom+Misc (22_04),Advertising,Google,Custom+Misc,2026-04,407,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2118,2118,20,0,1,14,0
